split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,fold_status,fold_error,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,test_worst_daily_relative_return,test_max_relative_drawdown,active,signal_scale,signal_scale_state_slope,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,17,fold_01,test,438,439,627,628,753,126,ok,,0.00012487914025594016,0.12085125254395002,-0.00021430405853695156,0.12109150700389226,-0.00024025445994224626,0.9984744434047139,0.00035028892637062943,-8.860668052224074e-05,0.00021434029713152114,1,-0.023999999999999966,0.0,0.13026586306838572,0.34758033209676265,0.008260343539099544,4,181,0.9627659574468085,0.4927594646743176,0.008699358000605504,4,4,121,0.968
chrono,17,fold_02,test,564,565,753,754,879,126,ok,,0.0002913351849946899,0.021351554044068077,0.0,0.021351554044068077,0.0,1.0,0.0,0.0,0.0,0,0.01200000000000001,0.0,0.18758109021860253,0.6940293285693568,0.007262555792360182,1,186,0.9893617021276596,0.663995331091561,0.007359408257880107,0,0,125,1.0
chrono,17,fold_03,test,690,691,879,880,1005,126,ok,,0.00039214944521037687,-0.07074245596428008,-0.001696596399157757,-0.06916320160391776,-0.0015792543603623255,1.0060581084606155,0.0003440172408258485,-0.0006036493522677544,0.003233866736374491,1,0.02400000000000002,0.0,0.20275358844838692,0.6924531498142293,0.00842855982771038,1,182,0.9680851063829787,0.9566584461410549,0.008070265036344403,4,4,121,0.968
chrono,17,fold_04,test,816,817,1005,1006,1131,126,ok,,0.0018430603138686052,0.19529487150990543,-0.0015232579879205232,0.1971183916624919,-0.0018235201525864664,0.9981970509897801,0.0008364638810038385,-0.0010770440313218055,0.003023918926508773,1,-0.035999999999999976,0.0,0.2248904521891187,0.8480418484503197,0.008010828701740158,4,181,0.9627659574468085,0.8974005547448246,0.009785449919923361,4,8,117,0.936
chrono,17,fold_05,test,942,943,1131,1132,1257,126,ok,,0.0005882083565682539,0.09616461114650843,0.0,0.09616461114650843,0.0,1.0,0.0,0.0,0.0,0,0.01200000000000001,0.0,0.24221145328507512,0.9899826213888155,0.008242533335153767,0,186,0.9893617021276596,0.3299883790472671,0.0036706177687933373,0,0,125,1.0
